what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334510575900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334510659858
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1334510699749
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1334510700025
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1334510700090
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1334510700451
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1334510700659
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1334510700687
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1334510700785
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1334510700845
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1334510700863
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1334510701275
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1334510701287
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334510703092
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334510704705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334510707833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334511128179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1334511149452
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334511157701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334511160615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334511161949
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334511162394
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1334511163519
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1334511164392
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1334511164417
